"id","nome_pais","preco_medio","descricao_mais_long"
1,"Egypt",NULL,"207"
2,"Switzerland",85.28571428571429,"234"
3,"England",48.189189189189186,"591"
4,"Germany",41.37921478060046,"502"
5,"Hungary",40.36986301369863,"433"
6,"US",36.41283966020219,"829"
7,"Canada",35.295719844357976,"467"
8,"Australia",34.90510948905109,"631"
9,"Italy",34.33331627430911,"589"
10,"France",33.10048431629928,"753"
11,"Israel",30.762376237623762,"621"
12,"Lebanon",30.685714285714287,"529"
13,"Spain",27.909556057185853,"494"
14,"Mexico",26.785714285714285,"379"
15,"Uruguay",26.40366972477064,"347"
16,"New Zealand",26.153629316420012,"470"
17,"Austria",25.741405082212257,"688"
18,"Croatia",24.753424657534246,"437"
19,"Turkey",24.633333333333333,"429"
20,"Serbia",24.5,"243"
21,"Czech Republic",24.25,"337"
22,"Argentina",24.226315789473684,"479"
23,"Luxembourg",23.333333333333332,"201"
24,NULL,23.03174603174603,"599"
25,"Slovenia",22.816091954022987,"385"
26,"South Africa",22.767309064953604,"723"
27,"Portugal",22.458970303988753,"515"
28,"Greece",22.124463519313306,"502"
29,"Brazil",21.48076923076923,"334"
30,"Chile",20.526162790697676,"492"
31,"Morocco",19.5,"437"
32,"Georgia",18.872093023255815,"469"
33,"Peru",18.0625,"298"
34,"China",18.0,"260"
35,"Moldova",16.74576271186441,"317"
36,"Cyprus",16.272727272727273,"259"
37,"Slovakia",16.0,"243"
38,"Macedonia",15.583333333333334,"243"
39,"Romania",15.241666666666667,"414"
40,"Bulgaria",14.645390070921986,"465"
41,"Armenia",14.5,"215"
42,"India",13.333333333333334,"369"
43,"Bosnia and Herzegovina",12.5,"260"
44,"Ukraine",9.214285714285714,"281"
